chrom	pos_min	pos_mid	pos_max	pos_range	sample	cross
Pf3D7_02_v3	373697	373836	373975	278	X6/PG0064-C/ERR019071	3d7_hb3
Pf3D7_02_v3	374366	376016	377666	3300	XP4/PG0054-C/ERR019062	3d7_hb3
Pf3D7_02_v3	385879	386254	386630	751	X33/PG0069-C/ERR019055	3d7_hb3
Pf3D7_02_v3	406465	407016	407568	1103	LA10/PG0086-C/ERR029090	7g8_gb4
Pf3D7_02_v3	415166	415606	416046	880	X33/PG0069-C/ERR019055	3d7_hb3
Pf3D7_02_v3	435733	437398	439064	3331	GC06/PG0028-C/ERR015456	hb3_dd2
Pf3D7_02_v3	455274	456340	457407	2133	SC01/PG0025-C/ERR019045	hb3_dd2
Pf3D7_02_v3	473919	476671	479424	5505	X2/PG0061-C/ERR019059	3d7_hb3
Pf3D7_02_v3	473919	476671	479424	5505	XP52/PG0060-C/ERR019058	3d7_hb3
Pf3D7_02_v3	486595	486876	487158	563	XD8_13_05_11/PG0105-CW/ERR045628	7g8_gb4
Pf3D7_02_v3	500976	501253	501530	554	X5/PG0063-C/ERR019060	3d7_hb3
Pf3D7_02_v3	507476	507981	508487	1011	7C408/PG0031-C/ERR015458	hb3_dd2
Pf3D7_02_v3	534854	536238	537622	2768	LA10/PG0086-C/ERR029090	7g8_gb4
Pf3D7_02_v3	556953	557370	557788	835	NF10/PG0096-C/ERR027108	7g8_gb4
Pf3D7_02_v3	593156	595315	597475	4319	WF12/PG0097-C/ERR027109	7g8_gb4
Pf3D7_02_v3	614215	614432	614650	435	7C408/PG0031-C/ERR015458	hb3_dd2
Pf3D7_02_v3	620536	621122	621708	1172	X2/PG0061-C/ERR019059	3d7_hb3
Pf3D7_02_v3	626669	627624	628579	1910	7C7/PG0048-C/ERR019049	hb3_dd2
Pf3D7_02_v3	638784	639748	640712	1928	D43/PG0029-Cx/ERR107474	hb3_dd2
Pf3D7_02_v3	674310	674494	674678	368	NIC_18_05_11/PG0095-CW/ERR045631	7g8_gb4
Pf3D7_02_v3	676139	677186	678234	2095	XP9/PG0057-C/ERR019069	3d7_hb3
Pf3D7_02_v3	692628	693467	694307	1679	3BD5/PG0024-C/ERR019053	hb3_dd2
Pf3D7_02_v3	710268	711061	711854	1586	7C20/PG0037-C/ERR015451	hb3_dd2
Pf3D7_02_v3	738539	739218	739897	1358	7C101/PG0074-C/ERR019048	hb3_dd2
Pf3D7_02_v3	743211	743655	744099	888	7C183/PG0042-C/ERR015448	hb3_dd2
Pf3D7_02_v3	746771	748162	749553	2782	7C12/PG0035-Cx/ERR037704	hb3_dd2
Pf3D7_02_v3	749850	750898	751947	2097	7C126/PG0047-C/ERR015452	hb3_dd2
Pf3D7_02_v3	779385	780844	782304	2919	JC3/PG0077-CW/ERR045636	7g8_gb4
Pf3D7_02_v3	823988	825313	826638	2650	KA6/PG0091-C/ERR027117	7g8_gb4
Pf3D7_02_v3	825357	825498	825639	282	7C408/PG0031-C/ERR015458	hb3_dd2
Pf3D7_03_v3	89401	90776	92152	2751	WF12/PG0097-C/ERR027109	7g8_gb4
Pf3D7_03_v3	148800	149434	150068	1268	AUD/PG0112-C/ERR029406	7g8_gb4
Pf3D7_03_v3	211353	212576	213800	2447	7C424/PG0044-C/ERR019043	hb3_dd2
Pf3D7_03_v3	239400	240273	241146	1746	AUD/PG0112-C/ERR029406	7g8_gb4
Pf3D7_03_v3	244430	244511	244592	162	XD8_13_05_11/PG0105-CW/ERR045628	7g8_gb4
Pf3D7_03_v3	253011	254103	255196	2185	7C126/PG0047-C/ERR015452	hb3_dd2
Pf3D7_03_v3	271828	273431	275035	3207	7C7/PG0048-C/ERR019049	hb3_dd2
Pf3D7_03_v3	297048	297456	297864	816	JB12/PG0099-C/ERR029146	7g8_gb4
Pf3D7_03_v3	300982	301762	302542	1560	X30/PG0068-C/ERR019065	3d7_hb3
Pf3D7_03_v3	304814	306177	307540	2726	JC3/PG0077-CW/ERR045636	7g8_gb4
Pf3D7_03_v3	311136	311892	312648	1512	XG10/PG0109-C/ERR029405	7g8_gb4
Pf3D7_03_v3	312648	314749	316851	4203	NF10/PG0096-C/ERR027108	7g8_gb4
Pf3D7_03_v3	329611	330328	331046	1435	XD8_13_05_11/PG0105-CW/ERR045628	7g8_gb4
Pf3D7_03_v3	329611	330328	331046	1435	XG10/PG0109-C/ERR029405	7g8_gb4
Pf3D7_03_v3	333750	334416	335082	1332	KH7/PG0088-C/ERR027111	7g8_gb4
Pf3D7_03_v3	342759	344027	345295	2536	7C3/PG0034-C/ERR019047	hb3_dd2
Pf3D7_03_v3	342759	344027	345295	2536	D43/PG0029-Cx/ERR107474	hb3_dd2
Pf3D7_03_v3	348941	349363	349785	844	XF12/PG0102-C/ERR029143	7g8_gb4
Pf3D7_03_v3	350622	351235	351849	1227	7C159/PG0040-Cx/ERR107475	hb3_dd2
Pf3D7_03_v3	361403	362438	363473	2070	7C408/PG0031-C/ERR015458	hb3_dd2
Pf3D7_03_v3	376212	377090	377968	1756	7C20/PG0037-C/ERR015451	hb3_dd2
Pf3D7_03_v3	383756	384019	384283	527	7C183/PG0042-C/ERR015448	hb3_dd2
Pf3D7_03_v3	397174	398894	400615	3441	KB8/PG0104-C/ERR029148	7g8_gb4
Pf3D7_03_v3	403444	404454	405464	2020	X44/PG0072-C/ERR019057	3d7_hb3
Pf3D7_03_v3	409300	409496	409693	393	3BA6/PG0022-Cx/ERR126027	hb3_dd2
Pf3D7_03_v3	445545	445831	446118	573	KB8/PG0104-C/ERR029148	7g8_gb4
Pf3D7_03_v3	456389	456647	456905	516	QF5/PG0078-C/ERR029092	7g8_gb4
Pf3D7_03_v3	457954	458546	459138	1184	3BA6/PG0022-Cx/ERR126027	hb3_dd2
Pf3D7_03_v3	475760	477594	479428	3668	7C408/PG0031-C/ERR015458	hb3_dd2
Pf3D7_03_v3	482274	482877	483480	1206	X33/PG0069-C/ERR019055	3d7_hb3
Pf3D7_03_v3	498238	499853	501469	3231	XB3/PG0093-C/ERR029105	7g8_gb4
Pf3D7_03_v3	502386	502417	502449	63	XG10/PG0109-C/ERR029405	7g8_gb4
Pf3D7_03_v3	508877	509062	509247	370	7C188/PG0030-C/ERR019046	hb3_dd2
Pf3D7_03_v3	510000	510666	511333	1333	7C7/PG0048-C/ERR019049	hb3_dd2
Pf3D7_03_v3	516735	518648	520561	3826	JF6/PG0079-C/ERR027102	7g8_gb4
Pf3D7_03_v3	528963	530180	531397	2434	XP9/PG0057-C/ERR019069	3d7_hb3
Pf3D7_03_v3	544478	545997	547516	3038	QC23/PG0045-C/ERR012892	hb3_dd2
Pf3D7_03_v3	564127	564580	565033	906	7C12/PG0035-Cx/ERR037704	hb3_dd2
Pf3D7_03_v3	567506	567681	567857	351	X10/PG0065-C/ERR019064	3d7_hb3
Pf3D7_03_v3	567857	568365	568874	1017	WC4/PG0082-C/ERR029093	7g8_gb4
Pf3D7_03_v3	643061	643320	643580	519	DAN/PG0098-C/ERR027110	7g8_gb4
Pf3D7_03_v3	649812	650527	651242	1430	X2/PG0061-C/ERR019059	3d7_hb3
Pf3D7_03_v3	649812	650527	651242	1430	B1SD/PG0015-C/ERR019044	hb3_dd2
Pf3D7_03_v3	654095	654408	654721	626	X33/PG0069-C/ERR019055	3d7_hb3
Pf3D7_03_v3	687658	687933	688209	551	WF12/PG0097-C/ERR027109	7g8_gb4
Pf3D7_03_v3	703144	703577	704010	866	7C7/PG0048-C/ERR019049	hb3_dd2
Pf3D7_03_v3	728223	730588	732954	4731	1BB5/PG0023-C/ERR015449	hb3_dd2
Pf3D7_03_v3	732954	733863	734772	1818	TC05/PG0027-C/ERR015450	hb3_dd2
Pf3D7_03_v3	736175	736241	736307	132	DEV_18_05_11/PG0081-CW/ERR045633	7g8_gb4
Pf3D7_03_v3	765625	766157	766689	1064	NF10/PG0096-C/ERR027108	7g8_gb4
Pf3D7_03_v3	767765	769939	772113	4348	KH7/PG0088-C/ERR027111	7g8_gb4
Pf3D7_03_v3	781868	782368	782869	1001	JF6/PG0079-C/ERR027102	7g8_gb4
Pf3D7_03_v3	813449	814582	815716	2267	QF5/PG0078-C/ERR029092	7g8_gb4
Pf3D7_03_v3	830642	831944	833246	2604	WC4/PG0082-C/ERR029093	7g8_gb4
Pf3D7_03_v3	859854	860985	862116	2262	GC06/PG0028-C/ERR015456	hb3_dd2
Pf3D7_03_v3	877523	878401	879280	1757	QC23/PG0045-C/ERR012892	hb3_dd2
Pf3D7_03_v3	879603	879708	879813	210	XF12/PG0102-C/ERR029143	7g8_gb4
Pf3D7_03_v3	900722	901833	902944	2222	X30/PG0068-C/ERR019065	3d7_hb3
Pf3D7_03_v3	903730	905345	906960	3230	TC05/PG0027-C/ERR015450	hb3_dd2
Pf3D7_03_v3	904441	905819	907198	2757	TF1/PG0080-C/ERR027103	7g8_gb4
Pf3D7_03_v3	906960	907082	907204	244	7C159/PG0040-Cx/ERR107475	hb3_dd2
Pf3D7_03_v3	910795	912148	913502	2707	JC3/PG0077-CW/ERR045636	7g8_gb4
Pf3D7_03_v3	912649	914859	917070	4421	3BD5/PG0024-C/ERR019053	hb3_dd2
Pf3D7_03_v3	930257	931150	932044	1787	7C183/PG0042-C/ERR015448	hb3_dd2
Pf3D7_03_v3	937965	938071	938177	212	X44/PG0072-C/ERR019057	3d7_hb3
Pf3D7_03_v3	947436	947574	947713	277	XG10/PG0109-C/ERR029405	7g8_gb4
Pf3D7_03_v3	947713	948203	948694	981	QF5/PG0078-C/ERR029092	7g8_gb4
Pf3D7_03_v3	962674	964429	966185	3511	WF12/PG0097-C/ERR027109	7g8_gb4
Pf3D7_03_v3	976566	977490	978414	1848	X2/PG0061-C/ERR019059	3d7_hb3
Pf3D7_03_v3	988446	989138	989830	1384	1BB5/PG0023-C/ERR015449	hb3_dd2
Pf3D7_04_v3	107526	107870	108214	688	QC34/PG0026-C/ERR015453	hb3_dd2
Pf3D7_04_v3	109302	109657	110012	710	DEV_18_05_11/PG0081-CW/ERR045633	7g8_gb4
Pf3D7_04_v3	141896	143051	144206	2310	TF1/PG0080-C/ERR027103	7g8_gb4
Pf3D7_04_v3	153168	153566	153965	797	TC08/PG0020-C/ERR019052	hb3_dd2
Pf3D7_04_v3	165586	165675	165765	179	X2/PG0061-C/ERR019059	3d7_hb3
Pf3D7_04_v3	187178	187429	187681	503	QF5/PG0078-C/ERR029092	7g8_gb4
Pf3D7_04_v3	189757	191180	192603	2846	7C408/PG0031-C/ERR015458	hb3_dd2
Pf3D7_04_v3	191233	191393	191554	321	JE11/PG0100-C/ERR029404	7g8_gb4
Pf3D7_04_v3	199824	200556	201289	1465	XP9/PG0057-C/ERR019069	3d7_hb3
Pf3D7_04_v3	281543	282490	283437	1894	7C140/PG0039-C/ERR015454	hb3_dd2
Pf3D7_04_v3	292400	294506	296613	4213	WC4/PG0082-C/ERR029093	7g8_gb4
Pf3D7_04_v3	301211	301812	302413	1202	3BA6/PG0022-Cx/ERR126027	hb3_dd2
Pf3D7_04_v3	301546	303030	304515	2969	JE11/PG0100-C/ERR029404	7g8_gb4
Pf3D7_04_v3	306053	306236	306420	367	7C170/PG0041-C/ERR015446	hb3_dd2
Pf3D7_04_v3	320903	321496	322090	1187	GC06/PG0028-C/ERR015456	hb3_dd2
Pf3D7_04_v3	340956	341499	342043	1087	XF12/PG0102-C/ERR029143	7g8_gb4
Pf3D7_04_v3	352804	353143	353482	678	B1SD/PG0015-C/ERR019044	hb3_dd2
Pf3D7_04_v3	386700	387254	387808	1108	3BA6/PG0022-Cx/ERR126027	hb3_dd2
Pf3D7_04_v3	435856	436951	438047	2191	XD8_13_05_11/PG0105-CW/ERR045628	7g8_gb4
Pf3D7_04_v3	452053	453319	454586	2533	X44/PG0072-C/ERR019057	3d7_hb3
Pf3D7_04_v3	483378	483706	484034	656	NIC_18_05_11/PG0095-CW/ERR045631	7g8_gb4
Pf3D7_04_v3	488769	489289	489810	1041	KH7/PG0088-C/ERR027111	7g8_gb4
Pf3D7_04_v3	491989	492711	493434	1445	X44/PG0072-C/ERR019057	3d7_hb3
Pf3D7_04_v3	520970	522417	523864	2894	X35/PG0070-C/ERR019056	3d7_hb3
Pf3D7_04_v3	525658	527126	528595	2937	XB3/PG0093-C/ERR029105	7g8_gb4
Pf3D7_04_v3	627429	627569	627709	280	D43/PG0029-Cx/ERR107474	hb3_dd2
Pf3D7_04_v3	641283	643330	645377	4094	CH3_61/PG0033-Cx/ERR175544	hb3_dd2
Pf3D7_04_v3	672440	672991	673542	1102	7C183/PG0042-C/ERR015448	hb3_dd2
Pf3D7_04_v3	672440	672991	673542	1102	7C408/PG0031-C/ERR015458	hb3_dd2
Pf3D7_04_v3	729031	731916	734801	5770	3BD5/PG0024-C/ERR019053	hb3_dd2
Pf3D7_04_v3	741096	741607	742119	1023	DAN/PG0098-C/ERR027110	7g8_gb4
Pf3D7_04_v3	744600	745774	746948	2348	7C3/PG0034-C/ERR019047	hb3_dd2
Pf3D7_04_v3	770260	771605	772950	2690	7C183/PG0042-C/ERR015448	hb3_dd2
Pf3D7_04_v3	779884	780400	780916	1032	AUD/PG0112-C/ERR029406	7g8_gb4
Pf3D7_04_v3	799863	800504	801146	1283	7C16/PG0036-C/ERR015455	hb3_dd2
Pf3D7_04_v3	855791	856432	857073	1282	CH3_61/PG0033-Cx/ERR175544	hb3_dd2
Pf3D7_04_v3	859387	860753	862120	2733	7C46/PG0046-Cx/ERR107476	hb3_dd2
Pf3D7_04_v3	878122	878867	879612	1490	KB8/PG0104-C/ERR029148	7g8_gb4
Pf3D7_04_v3	877813	879088	880364	2551	7C188/PG0030-C/ERR019046	hb3_dd2
Pf3D7_04_v3	880364	880659	880954	590	NIC_18_05_11/PG0095-CW/ERR045631	7g8_gb4
Pf3D7_04_v3	886511	886813	887115	604	B1SD/PG0015-C/ERR019044	hb3_dd2
Pf3D7_04_v3	897349	897686	898023	674	7C170/PG0041-C/ERR015446	hb3_dd2
Pf3D7_04_v3	908460	908657	908855	395	GC06/PG0028-C/ERR015456	hb3_dd2
Pf3D7_04_v3	909034	909108	909183	149	7C3/PG0034-C/ERR019047	hb3_dd2
Pf3D7_04_v3	934941	959150	983360	48419	7C126/PG0047-C/ERR015452	hb3_dd2
Pf3D7_04_v3	983315	985818	988322	5007	KA6/PG0091-C/ERR027117	7g8_gb4
Pf3D7_04_v3	1012608	1012765	1012923	315	X35/PG0070-C/ERR019056	3d7_hb3
Pf3D7_04_v3	1027662	1027769	1027876	214	JF6/PG0079-C/ERR027102	7g8_gb4
Pf3D7_04_v3	1030228	1030715	1031203	975	WE2/PG0085-C/ERR027101	7g8_gb4
Pf3D7_04_v3	1030873	1032804	1034736	3863	B4R3/PG0018-C/ERR019042	hb3_dd2
Pf3D7_04_v3	1057830	1058405	1058981	1151	7C101/PG0074-C/ERR019048	hb3_dd2
Pf3D7_04_v3	1082197	1082461	1082725	528	LA10/PG0086-C/ERR029090	7g8_gb4
Pf3D7_04_v3	1095029	1095508	1095988	959	TF1/PG0080-C/ERR027103	7g8_gb4
Pf3D7_04_v3	1103436	1103728	1104020	584	CH3_116/PG0032-Cx/ERR037703	hb3_dd2
Pf3D7_04_v3	1107431	1109430	1111429	3998	X2/PG0061-C/ERR019059	3d7_hb3
Pf3D7_04_v3	1122298	1124748	1127199	4901	KA6/PG0091-C/ERR027117	7g8_gb4
Pf3D7_05_v3	110728	110937	111147	419	X33/PG0069-C/ERR019055	3d7_hb3
Pf3D7_05_v3	113804	114421	115038	1234	GC03/PG0021-C/ERR015447	hb3_dd2
Pf3D7_05_v3	124374	126774	129174	4800	7C170/PG0041-C/ERR015446	hb3_dd2
Pf3D7_05_v3	131223	131677	132132	909	X5/PG0063-C/ERR019060	3d7_hb3
Pf3D7_05_v3	144161	144626	145092	931	XP9/PG0057-C/ERR019069	3d7_hb3
Pf3D7_05_v3	175359	175539	175719	360	GC03/PG0021-C/ERR015447	hb3_dd2
Pf3D7_05_v3	209317	210732	212147	2830	XP4/PG0054-C/ERR019062	3d7_hb3
Pf3D7_05_v3	212198	213705	215213	3015	7C188/PG0030-C/ERR019046	hb3_dd2
Pf3D7_05_v3	218351	219187	220024	1673	LA10/PG0086-C/ERR029090	7g8_gb4
Pf3D7_05_v3	235694	237053	238412	2718	AUD/PG0112-C/ERR029406	7g8_gb4
Pf3D7_05_v3	250806	251176	251547	741	XP24/PG0058-C/ERR019063	3d7_hb3
Pf3D7_05_v3	258710	258986	259263	553	CH3_61/PG0033-Cx/ERR175544	hb3_dd2
Pf3D7_05_v3	259643	260190	260738	1095	QC13/PG0016-C/ERR012895	hb3_dd2
Pf3D7_05_v3	262554	262858	263162	608	QC34/PG0026-C/ERR015453	hb3_dd2
Pf3D7_05_v3	276047	277216	278386	2339	XP52/PG0060-C/ERR019058	3d7_hb3
Pf3D7_05_v3	278718	279252	279786	1068	JE11/PG0100-C/ERR029404	7g8_gb4
Pf3D7_05_v3	284568	285618	286669	2101	QC01/PG0017-C/ERR019050	hb3_dd2
Pf3D7_05_v3	287282	287537	287793	511	7C126/PG0047-C/ERR015452	hb3_dd2
Pf3D7_05_v3	294345	295144	295943	1598	JB12/PG0099-C/ERR029146	7g8_gb4
Pf3D7_05_v3	311230	311525	311821	591	X6/PG0064-C/ERR019071	3d7_hb3
Pf3D7_05_v3	313121	314158	315195	2074	AL2_13_05_11/PG0103-CW/ERR045627	7g8_gb4
Pf3D7_05_v3	328824	329215	329606	782	X33/PG0069-C/ERR019055	3d7_hb3
Pf3D7_05_v3	354544	354793	355043	499	KB8/PG0104-C/ERR029148	7g8_gb4
Pf3D7_05_v3	355043	355435	355827	784	QC13/PG0016-C/ERR012895	hb3_dd2
Pf3D7_05_v3	394267	395165	396064	1797	QC34/PG0026-C/ERR015453	hb3_dd2
Pf3D7_05_v3	394818	396184	397551	2733	WF12/PG0097-C/ERR027109	7g8_gb4
Pf3D7_05_v3	398359	398708	399058	699	X35/PG0070-C/ERR019056	3d7_hb3
Pf3D7_05_v3	434547	434756	434965	418	X10/PG0065-C/ERR019064	3d7_hb3
Pf3D7_05_v3	432767	434960	437154	4387	1BB5/PG0023-C/ERR015449	hb3_dd2
Pf3D7_05_v3	472369	475574	478779	6410	3BA6/PG0022-Cx/ERR126027	hb3_dd2
Pf3D7_05_v3	485181	489221	493261	8080	DEV_18_05_11/PG0081-CW/ERR045633	7g8_gb4
Pf3D7_05_v3	529994	530771	531548	1554	XG10/PG0109-C/ERR029405	7g8_gb4
Pf3D7_05_v3	561831	563751	565671	3840	XP52/PG0060-C/ERR019058	3d7_hb3
Pf3D7_05_v3	573104	573411	573719	615	X2/PG0061-C/ERR019059	3d7_hb3
Pf3D7_05_v3	576969	577198	577427	458	3BD5/PG0024-C/ERR019053	hb3_dd2
Pf3D7_05_v3	581197	582666	584136	2939	JON/PG0107-C/ERR029408	7g8_gb4
Pf3D7_05_v3	581344	583226	585108	3764	7C188/PG0030-C/ERR019046	hb3_dd2
Pf3D7_05_v3	586096	588283	590471	4375	QF5/PG0078-C/ERR029092	7g8_gb4
Pf3D7_05_v3	598068	599309	600550	2482	CH3_61/PG0033-Cx/ERR175544	hb3_dd2
Pf3D7_05_v3	610611	611239	611867	1256	7C421/PG0043-C/ERR015459	hb3_dd2
Pf3D7_05_v3	612550	613592	614635	2085	KB8/PG0104-C/ERR029148	7g8_gb4
Pf3D7_05_v3	612550	613592	614635	2085	XE7/PG0106-C/ERR029407	7g8_gb4
Pf3D7_05_v3	650842	651268	651694	852	XP52/PG0060-C/ERR019058	3d7_hb3
Pf3D7_05_v3	657356	657831	658307	951	D2_18_05_11/PG0094-CW/ERR045632	7g8_gb4
Pf3D7_05_v3	666976	667943	668910	1934	JON/PG0107-C/ERR029408	7g8_gb4
Pf3D7_05_v3	681362	681910	682459	1097	7C101/PG0074-C/ERR019048	hb3_dd2
Pf3D7_05_v3	685899	686180	686461	562	SC01/PG0025-C/ERR019045	hb3_dd2
Pf3D7_05_v3	695649	696725	697801	2152	AL2_13_05_11/PG0103-CW/ERR045627	7g8_gb4
Pf3D7_05_v3	699165	701061	702958	3793	JF6/PG0079-C/ERR027102	7g8_gb4
Pf3D7_05_v3	707802	709217	710632	2830	QC23/PG0045-C/ERR012892	hb3_dd2
Pf3D7_05_v3	725875	726602	727330	1455	7C183/PG0042-C/ERR015448	hb3_dd2
Pf3D7_05_v3	747057	747186	747316	259	NF10/PG0096-C/ERR027108	7g8_gb4
Pf3D7_05_v3	747389	748321	749253	1864	XF12/PG0102-C/ERR029143	7g8_gb4
Pf3D7_05_v3	765955	766671	767388	1433	SC05/PG0019-C/ERR019051	hb3_dd2
Pf3D7_05_v3	803969	804689	805409	1440	7C46/PG0046-Cx/ERR107476	hb3_dd2
Pf3D7_05_v3	888491	888534	888577	86	QC23/PG0045-C/ERR012892	hb3_dd2
Pf3D7_05_v3	888725	889885	891045	2320	LA10/PG0086-C/ERR029090	7g8_gb4
Pf3D7_05_v3	918898	919855	920812	1914	XE7/PG0106-C/ERR029407	7g8_gb4
Pf3D7_05_v3	920812	921086	921360	548	WE2/PG0085-C/ERR027101	7g8_gb4
Pf3D7_05_v3	888577	930515	972453	83876	B4R3/PG0018-C/ERR019042	hb3_dd2
Pf3D7_05_v3	888577	930618	972660	84083	CH3_61/PG0033-Cx/ERR175544	hb3_dd2
Pf3D7_05_v3	1017712	1018240	1018768	1056	JB8/PG0087-C/ERR029091	7g8_gb4
Pf3D7_05_v3	1019176	1019944	1020713	1537	SC01/PG0025-C/ERR019045	hb3_dd2
Pf3D7_05_v3	1026934	1028694	1030455	3521	7C111/PG0038-C/ERR015457	hb3_dd2
Pf3D7_05_v3	1026934	1028694	1030455	3521	7C20/PG0037-C/ERR015451	hb3_dd2
Pf3D7_05_v3	1036872	1037167	1037463	591	TC05/PG0027-C/ERR015450	hb3_dd2
Pf3D7_05_v3	1047019	1048328	1049638	2619	7C159/PG0040-Cx/ERR107475	hb3_dd2
Pf3D7_05_v3	1047019	1048328	1049638	2619	7C46/PG0046-Cx/ERR107476	hb3_dd2
Pf3D7_05_v3	1078333	1078451	1078569	236	7C12/PG0035-Cx/ERR037704	hb3_dd2
Pf3D7_05_v3	1125684	1126951	1128218	2534	AUD/PG0112-C/ERR029406	7g8_gb4
Pf3D7_05_v3	1162708	1163526	1164344	1636	KA6/PG0091-C/ERR027117	7g8_gb4
Pf3D7_05_v3	1180250	1180984	1181718	1468	X33/PG0069-C/ERR019055	3d7_hb3
Pf3D7_05_v3	1199000	1199376	1199752	752	X11/PG0066-C/ERR019072	3d7_hb3
Pf3D7_05_v3	1239449	1240443	1241437	1988	X5/PG0063-C/ERR019060	3d7_hb3
Pf3D7_05_v3	1287278	1287316	1287354	76	XP4/PG0054-C/ERR019062	3d7_hb3
Pf3D7_06_v3	85188	86364	87541	2353	7C3/PG0034-C/ERR019047	hb3_dd2
Pf3D7_06_v3	134602	135094	135587	985	X2/PG0061-C/ERR019059	3d7_hb3
Pf3D7_06_v3	140891	141353	141816	925	QC01/PG0017-C/ERR019050	hb3_dd2
Pf3D7_06_v3	153516	155071	156627	3111	WC4/PG0082-C/ERR029093	7g8_gb4
